"Id","Date","Address","Species","Block","Street","Trap","AddressNumberAndStreet","Latitude","Longitude","AddressAccuracy"
1,"2008-06-11","4100 North Oak Park Avenue, Chicago, IL 60634, USA","CULEX PIPIENS/RESTUANS",41," N OAK PARK AVE","T002","4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9
2,"2008-06-11","4100 North Oak Park Avenue, Chicago, IL 60634, USA","CULEX RESTUANS",41," N OAK PARK AVE","T002","4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9
3,"2008-06-11","4100 North Oak Park Avenue, Chicago, IL 60634, USA","CULEX PIPIENS",41," N OAK PARK AVE","T002","4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9
4,"2008-06-11","4100 North Oak Park Avenue, Chicago, IL 60634, USA","CULEX SALINARIUS",41," N OAK PARK AVE","T002","4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9
5,"2008-06-11","4100 North Oak Park Avenue, Chicago, IL 60634, USA","CULEX TERRITANS",41," N OAK PARK AVE","T002","4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9
6,"2008-06-11","4100 North Oak Park Avenue, Chicago, IL 60634, USA","CULEX TARSALIS",41," N OAK PARK AVE","T002","4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9
7,"2008-06-11","4100 North Oak Park Avenue, Chicago, IL 60634, USA","UNSPECIFIED CULEX",41," N OAK PARK AVE","T002","4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9
8,"2008-06-11","4100 North Oak Park Avenue, Chicago, IL 60634, USA","CULEX ERRATICUS",41," N OAK PARK AVE","T002","4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9
9,"2008-06-11","6200 North Mandell Avenue, Chicago, IL 60646, USA","CULEX PIPIENS/RESTUANS",62," N MANDELL AVE","T007","6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9
10,"2008-06-11","6200 North Mandell Avenue, Chicago, IL 60646, USA","CULEX RESTUANS",62," N MANDELL AVE","T007","6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9
11,"2008-06-11","6200 North Mandell Avenue, Chicago, IL 60646, USA","CULEX PIPIENS",62," N MANDELL AVE","T007","6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9
12,"2008-06-11","6200 North Mandell Avenue, Chicago, IL 60646, USA","CULEX SALINARIUS",62," N MANDELL AVE","T007","6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9
13,"2008-06-11","6200 North Mandell Avenue, Chicago, IL 60646, USA","CULEX TERRITANS",62," N MANDELL AVE","T007","6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9
14,"2008-06-11","6200 North Mandell Avenue, Chicago, IL 60646, USA","CULEX TARSALIS",62," N MANDELL AVE","T007","6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9
15,"2008-06-11","6200 North Mandell Avenue, Chicago, IL 60646, USA","UNSPECIFIED CULEX",62," N MANDELL AVE","T007","6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9
16,"2008-06-11","6200 North Mandell Avenue, Chicago, IL 60646, USA","CULEX ERRATICUS",62," N MANDELL AVE","T007","6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9
17,"2008-06-11","7900 West Foster Avenue, Chicago, IL 60656, USA","CULEX PIPIENS/RESTUANS",79," W FOSTER AVE","T015","7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8
18,"2008-06-11","7900 West Foster Avenue, Chicago, IL 60656, USA","CULEX RESTUANS",79," W FOSTER AVE","T015","7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8
19,"2008-06-11","7900 West Foster Avenue, Chicago, IL 60656, USA","CULEX PIPIENS",79," W FOSTER AVE","T015","7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8
20,"2008-06-11","7900 West Foster Avenue, Chicago, IL 60656, USA","CULEX SALINARIUS",79," W FOSTER AVE","T015","7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8
21,"2008-06-11","7900 West Foster Avenue, Chicago, IL 60656, USA","CULEX TERRITANS",79," W FOSTER AVE","T015","7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8
22,"2008-06-11","7900 West Foster Avenue, Chicago, IL 60656, USA","CULEX TARSALIS",79," W FOSTER AVE","T015","7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8
23,"2008-06-11","7900 West Foster Avenue, Chicago, IL 60656, USA","UNSPECIFIED CULEX",79," W FOSTER AVE","T015","7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8
24,"2008-06-11","7900 West Foster Avenue, Chicago, IL 60656, USA","CULEX ERRATICUS",79," W FOSTER AVE","T015","7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8
25,"2008-06-11","1500 West Webster Avenue, Chicago, IL 60614, USA","CULEX PIPIENS/RESTUANS",15," W WEBSTER AVE","T045","1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8
